"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"163","Washington, DC","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1117,860,1450
"163","Washington, DC","2","1400 Juniper Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1830,1486,2253
"163","Washington, DC","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1681,1389,2033
"163","Washington, DC","5","4500 Q Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1719,1319,2240
"163","Washington, DC","6","Ridge Road Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1696,1382,2080
"163","Washington, DC","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",856,554,1320
"163","Washington, DC","8","0 H Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",747,530,1052
"163","Washington, DC","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1607,1301,1983
"163","Washington, DC","10","1500 30th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1592,1213,2088
"163","Washington, DC","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1639,1321,2032
"163","Washington, DC","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","1/1/2020 - 3/31/2020, Every day, Daily Average",1845,1502,2265
"163","Washington, DC","19","Thomas Avenue, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1342,1021,1762
"163","Washington, DC","20","McClellan Drive, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1204,879,1647
"163","Washington, DC","21","3600 North Vernon Street, Old Glebe, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1656,1341,2044
"163","Washington, DC","23","6500 Bellamine Court, McLean","1/1/2020 - 3/31/2020, Every day, Daily Average",1947,1576,2404
"163","Washington, DC","24","8600 Brook Road, McLean","1/1/2020 - 3/31/2020, Every day, Daily Average",2248,1820,2776
"163","Washington, DC","28","2100 North Scott Street, North Highland, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1440,1111,1866
"163","Washington, DC","29","700 Carpenter Road, Potomac Yard, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1449,1123,1868
"163","Washington, DC","31","1000 C Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",461,314,675
"163","Washington, DC","32","2600 13th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1181,907,1536
"163","Washington, DC","33","4400 E Street Southeast, Benning Ridge, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",928,704,1223
"163","Washington, DC","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",476,345,654
"163","Washington, DC","35","2100 1st Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",759,549,1047
"163","Washington, DC","36","500 17th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",314,205,479
"163","Washington, DC","37","3500 Toledo Terrace, Chillum","1/1/2020 - 3/31/2020, Every day, Daily Average",1287,1006,1646
"163","Washington, DC","39","Woodrow Wilson Memorial Bridge, Old Town, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1539,1181,2004
"163","Washington, DC","41","2000 Rosedale Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",395,264,590
"163","Washington, DC","42","4200 10th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",788,576,1076
"163","Washington, DC","43","900 Randolph Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1301,992,1705
"163","Washington, DC","44","1200 New Jersey Avenue Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",965,707,1315
"163","Washington, DC","45","0 L Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",677,453,1010
"163","Washington, DC","46","1900 Anacostia Drive, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",821,600,1123
"163","Washington, DC","47","0 S Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",628,442,890
"163","Washington, DC","48","3500 Commodore Joshua Barney Drive Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",302,176,517
"163","Washington, DC","49","2700 10th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",453,314,652
"163","Washington, DC","50","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1909,1590,2291
"163","Washington, DC","51","1300 Underwood Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1571,1251,1972
"163","Washington, DC","52","200 Quackenbos Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1261,999,1590
"163","Washington, DC","53","600 Atlantic Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1471,1160,1863
"163","Washington, DC","54","3300 Clay Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",550,390,775
"163","Washington, DC","55","500 Q Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",846,626,1142
"163","Washington, DC","56","Center Leg Freeway, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",932,658,1320
"163","Washington, DC","57","600 Edgewood Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",595,425,832
"163","Washington, DC","58","3100 13th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1137,876,1475
"163","Washington, DC","59","2800 45th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1849,1411,2422
"163","Washington, DC","60","3200 Dubois Place Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",710,516,975
"163","Washington, DC","61","1400 15th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1076,784,1476
"163","Washington, DC","62","1800 W Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1197,899,1592
"163","Washington, DC","63","4400 40th Street, Brentwood","1/1/2020 - 3/31/2020, Every day, Daily Average",720,519,998
"163","Washington, DC","64","1800 Ontario Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1409,1075,1845
"163","Washington, DC","65","1900 15th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1152,858,1546
"163","Washington, DC","66","1400 K Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1052,751,1473
"163","Washington, DC","67","900 Q Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",947,710,1262
"163","Washington, DC","68","8800 Springfield Road, Laurel","1/1/2020 - 3/31/2020, Every day, Daily Average",995,744,1329
"163","Washington, DC","70","3600 Anton Terrace, District Heights","1/1/2020 - 3/31/2020, Every day, Daily Average",1708,1405,2075
"163","Washington, DC","73","3300 Chillum Road, Mount Rainier","1/1/2020 - 3/31/2020, Every day, Daily Average",905,682,1200
"163","Washington, DC","74","11100 Rodeo Court, Upper Marlboro","1/1/2020 - 3/31/2020, Every day, Daily Average",1462,1102,1939
"163","Washington, DC","75","4900 Blackfoot Road, Hollywood, College Park","1/1/2020 - 3/31/2020, Every day, Daily Average",1298,1015,1658
"163","Washington, DC","76","7300 16th Place, Hyattsville","1/1/2020 - 3/31/2020, Every day, Daily Average",1378,1099,1726
"163","Washington, DC","77","3200 Donnell Drive, Forestville","1/1/2020 - 3/31/2020, Every day, Daily Average",1614,1268,2053
"163","Washington, DC","78","5000 Roseld Court, Oxon Hill","1/1/2020 - 3/31/2020, Every day, Daily Average",1525,1207,1925
"163","Washington, DC","80","3100 West Avenue, District Heights","1/1/2020 - 3/31/2020, Every day, Daily Average",1598,1272,2006
"163","Washington, DC","81","1600 Nova Avenue, Capitol Heights","1/1/2020 - 3/31/2020, Every day, Daily Average",1225,957,1567
"163","Washington, DC","82","2000 South Eads Street, Crystal City, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1463,1088,1965
"163","Washington, DC","83","500 Ethan Allen Avenue, Takoma Park","1/1/2020 - 3/31/2020, Every day, Daily Average",1362,1061,1747
"163","Washington, DC","84","7700 Oxman Road, Hyattsville","1/1/2020 - 3/31/2020, Every day, Daily Average",819,598,1120
"163","Washington, DC","85","100 Lakeside Drive, Greenbelt","1/1/2020 - 3/31/2020, Every day, Daily Average",876,660,1162
"163","Washington, DC","87","7600 Greenbrook Drive, Greenbelt","1/1/2020 - 3/31/2020, Every day, Daily Average",801,590,1087
"163","Washington, DC","92","3100 North Nelson Street, Bellevue Forest, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1499,1159,1937
"163","Washington, DC","94","6300 8th Circle, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1577,1272,1953
"163","Washington, DC","98","1600 13th Road South, Arlington Views, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1261,941,1688
"163","Washington, DC","103","600 South Ball Street, Crystal City, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1286,941,1756
"163","Washington, DC","104","2500 Jackson Parkway, Vienna","1/1/2020 - 3/31/2020, Every day, Daily Average",2063,1658,2566
"163","Washington, DC","105","Dwight D. Eisenhower Southwest Freeway, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1011,733,1393
"163","Washington, DC","106","5800 Cameron Run Terrace, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1573,1256,1968
"163","Washington, DC","107","4000 Ellicott Street, Seminary Hill, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1477,1113,1959
"163","Washington, DC","108","100 57th Place Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",983,739,1306
"163","Washington, DC","111","Perimeter East Road Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1309,1023,1674
"163","Washington, DC","112","Willow Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1091,833,1427
"163","Washington, DC","113","400 50th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",930,704,1228
"163","Washington, DC","114","5300 Call Place Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1017,774,1335
"163","Washington, DC","115","4700 B Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",856,644,1137
"163","Washington, DC","116","100 Jefferson Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1167,888,1531
"163","Washington, DC","117","4800 Illinois Avenue Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1396,1097,1775
"163","Washington, DC","118","100 Emerson Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1050,809,1361
"163","Washington, DC","119","200 10th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",569,415,780
"163","Washington, DC","120","300 Varnum Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1194,932,1529
"163","Washington, DC","121","0 T Street Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1114,824,1504
"163","Washington, DC","122","100 E Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",867,623,1205
"163","Washington, DC","123","600 Independence Avenue Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",664,482,913
"163","Washington, DC","124","1400 4th Street Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1262,965,1650
"163","Washington, DC","125","1600 D Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",557,416,745
"163","Washington, DC","126","2300 Hartford Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1326,1014,1733
"163","Washington, DC","127","1300 E Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",330,204,532
"163","Washington, DC","128","3500 19th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1487,1138,1941
"163","Washington, DC","129","800 51st Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",740,512,1067
"163","Washington, DC","130","3800 22nd Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",522,332,819
"163","Washington, DC","131","200 Taylor Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",904,685,1191
"163","Washington, DC","132","1600 Buchanan Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",693,471,1018
"163","Washington, DC","133","200 Oneida Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1168,920,1481
"163","Washington, DC","134","1400 Allison Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1480,1167,1876
"163","Washington, DC","135","Scale Gate Road Northeast, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",833,630,1099
"163","Washington, DC","136","700 Taylor Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1218,949,1563
"163","Washington, DC","137","1700 Willard Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1211,894,1640
"163","Washington, DC","138","500 8th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",809,591,1105
"163","Washington, DC","139","1400 Southeast Boulevard, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",775,551,1088
"163","Washington, DC","140","400 14th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",656,492,873
"163","Washington, DC","141","600 Nicholson Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1063,821,1375
"163","Washington, DC","142","100 Ingraham Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",994,751,1314
"163","Washington, DC","143","800 Delafield Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",834,580,1198
"163","Washington, DC","144","1700 19th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1297,965,1741
"163","Washington, DC","145","1100 Varney Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1627,1292,2047
"163","Washington, DC","146","3800 8th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1468,1155,1864
"163","Washington, DC","147","3400 17th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1445,1132,1844
"163","Washington, DC","148","1400 Ogden Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1387,1074,1791
"163","Washington, DC","149","1400 Irving Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1265,968,1652
"163","Washington, DC","150","1200 13th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",977,704,1355
"163","Washington, DC","151","100 3rd Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",598,421,848
"163","Washington, DC","152","600 Acker Place Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",413,275,618
"163","Washington, DC","153","900 10th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",287,167,490
"163","Washington, DC","154","200 M Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",468,284,769
"163","Washington, DC","155","100 T Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",547,375,796
"163","Washington, DC","156","100 13th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",447,315,633
"163","Washington, DC","157","300 U Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",424,275,652
"163","Washington, DC","158","300 Burbank Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",807,603,1078
"163","Washington, DC","159","1100 45th Place Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1028,789,1339
"163","Washington, DC","160","500 42nd Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",707,514,970
"163","Washington, DC","161","4900 Eads Place Northeast, Lincoln Heights, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",875,638,1198
"163","Washington, DC","162","800 Washburn Arts Center, Florida Avenue Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",153,62,377
"163","Washington, DC","163","1300 Mount Olivet Road Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",202,69,585
"163","Washington, DC","164","1700 Lang Place Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",124,60,254
"163","Washington, DC","165","800 21st Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",219,129,368
"163","Washington, DC","166","1300 Orren Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",150,67,333
"163","Washington, DC","167","4100 1st Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1325,1035,1695
"163","Washington, DC","168","1800 E Street Northeast, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1456,1094,1936
"163","Washington, DC","169","Meadow Road Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",158,62,397
"163","Washington, DC","170","900 Brentwood Road Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",269,145,495
"163","Washington, DC","171","4200 4th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1441,1131,1834
"163","Washington, DC","172","700 55th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",759,523,1100
"163","Washington, DC","173","4500 45th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",2014,1582,2562
"163","Washington, DC","174","Massachusetts-39th Trail, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1792,1427,2249
"163","Washington, DC","175","2100 Lincoln Road Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",698,507,960
"163","Washington, DC","176","4800 Meade Street Northeast, Deanwood, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",613,411,913
"163","Washington, DC","177","6000 Clay Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",916,653,1283
"163","Washington, DC","178","3100 Chancellor's Way Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",645,472,881
"163","Washington, DC","179","1500 Kearny Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",444,283,696
"163","Washington, DC","180","5100 39th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1994,1630,2438
"163","Washington, DC","181","400 Butternut Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1365,1079,1725
"163","Washington, DC","182","3600 Alton Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1867,1394,2499
"163","Washington, DC","183","3300 6th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1424,1113,1820
"163","Washington, DC","184","700 Fern Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1583,1263,1983
"163","Washington, DC","185","700 Quackenbos Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1439,1113,1859
"163","Washington, DC","186","20001, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",992,733,1341
"163","Washington, DC","187","1600 13th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1071,829,1382
"163","Washington, DC","188","4200 Martin Luther King Junior Avenue Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1186,925,1519
"163","Washington, DC","189","100 Wilmington Place Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1274,956,1696
"163","Washington, DC","190","900 M Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",848,599,1199
"163","Washington, DC","191","1300 Gallatin Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1513,1199,1908
"163","Washington, DC","192","5400 8th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1370,1083,1731
"163","Washington, DC","193","3500 13th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1257,959,1646
"163","Washington, DC","194","700 Lamont Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1054,808,1374
"163","Washington, DC","195","500 Lamont Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",975,743,1277
"163","Washington, DC","196","2400 5th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",806,593,1095
