"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"65","Washington, DC","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1333,978,1816
"65","Washington, DC","2","1400 Juniper Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",949,770,1169
"65","Washington, DC","3","4800 Canal Road Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1157,910,1470
"65","Washington, DC","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",982,787,1225
"65","Washington, DC","5","4500 Q Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",992,769,1279
"65","Washington, DC","6","Ridge Road Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",877,693,1108
"65","Washington, DC","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",833,596,1163
"65","Washington, DC","8","0 H Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",811,596,1102
"65","Washington, DC","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",550,396,762
"65","Washington, DC","10","1500 30th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",729,517,1026
"65","Washington, DC","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",759,604,952
"65","Washington, DC","14","0 Hesketh Street, Chevy Chase","1/1/2020 - 3/31/2020, Every day, Daily Average",1231,989,1530
"65","Washington, DC","15","8100 Roanoke Avenue, Takoma Park","1/1/2020 - 3/31/2020, Every day, Daily Average",1482,1198,1832
