"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"168","Washington, DC","76","7300 16th Place, Hyattsville","1/1/2020 - 3/31/2020, Every day, Daily Average",2197,1801,2679
"168","Washington, DC","77","3200 Donnell Drive, Forestville","1/1/2020 - 3/31/2020, Every day, Daily Average",1735,1266,2376
"168","Washington, DC","78","5000 Roseld Court, Oxon Hill","1/1/2020 - 3/31/2020, Every day, Daily Average",1508,1112,2043
"168","Washington, DC","79","2200 Washington Avenue, Silver Spring","1/1/2020 - 3/31/2020, Every day, Daily Average",1845,1486,2290
"168","Washington, DC","80","3100 West Avenue, District Heights","1/1/2020 - 3/31/2020, Every day, Daily Average",1864,1312,2646
"168","Washington, DC","81","1600 Nova Avenue, Capitol Heights","1/1/2020 - 3/31/2020, Every day, Daily Average",1534,1055,2230
"168","Washington, DC","82","2000 South Eads Street, Crystal City, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",781,559,1089
"168","Washington, DC","83","500 Ethan Allen Avenue, Takoma Park","1/1/2020 - 3/31/2020, Every day, Daily Average",2003,1563,2565
"168","Washington, DC","84","7700 Oxman Road, Hyattsville","1/1/2020 - 3/31/2020, Every day, Daily Average",1680,1259,2240
"168","Washington, DC","85","100 Lakeside Drive, Greenbelt","1/1/2020 - 3/31/2020, Every day, Daily Average",1750,1309,2339
"168","Washington, DC","86","9100 Fairview Road, Silver Spring","1/1/2020 - 3/31/2020, Every day, Daily Average",1943,1547,2438
"168","Washington, DC","87","7600 Greenbrook Drive, Greenbelt","1/1/2020 - 3/31/2020, Every day, Daily Average",1719,1280,2308
"168","Washington, DC","88","5000 Newport Avenue, Bethesda","1/1/2020 - 3/31/2020, Every day, Daily Average",1235,985,1547
"168","Washington, DC","89","10000 Oaklyn Drive, Potomac","1/1/2020 - 3/31/2020, Every day, Daily Average",1109,861,1426
"168","Washington, DC","90","11400 Macarthur Boulevard Northwest, Potomac","1/1/2020 - 3/31/2020, Every day, Daily Average",1060,798,1407
"168","Washington, DC","91","6400 Walhonding Road, Bethesda","1/1/2020 - 3/31/2020, Every day, Daily Average",1036,813,1319
"168","Washington, DC","92","3100 North Nelson Street, Bellevue Forest, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",484,337,693
"168","Washington, DC","93","6400 Vale Street, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1157,862,1551
"168","Washington, DC","94","6300 8th Circle, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1027,782,1347
"168","Washington, DC","95","1800 South Stafford Street, Douglas Park, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1018,754,1373
"168","Washington, DC","96","7300 Beverly Street, Annandale","1/1/2020 - 3/31/2020, Every day, Daily Average",1514,1165,1967
"168","Washington, DC","97","5500 Jowett Court, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1539,1266,1869
"168","Washington, DC","98","1600 13th Road South, Arlington Views, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",593,427,822
"168","Washington, DC","99","3800 Pinewood Terrace, Falls Church","1/1/2020 - 3/31/2020, Every day, Daily Average",1397,1083,1800
"168","Washington, DC","100","1200 Oronoco Street, Old Town West, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1018,784,1320
"168","Washington, DC","101","100 South Fayette Street, Old Town, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1158,876,1529
"168","Washington, DC","102","3700 South George Mason Drive, Falls Church","1/1/2020 - 3/31/2020, Every day, Daily Average",1123,814,1548
"168","Washington, DC","103","600 South Ball Street, Crystal City, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",650,448,942
"168","Washington, DC","104","2500 Jackson Parkway, Vienna","1/1/2020 - 3/31/2020, Every day, Daily Average",953,757,1199
"168","Washington, DC","105","Dwight D. Eisenhower Southwest Freeway, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",542,363,808
"168","Washington, DC","106","5800 Cameron Run Terrace, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1399,1055,1853
"168","Washington, DC","107","4000 Ellicott Street, Seminary Hill, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",859,627,1175
"168","Washington, DC","108","100 57th Place Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1747,1294,2357
"168","Washington, DC","109","7200 Wesley Road, Springfield","1/1/2020 - 3/31/2020, Every day, Daily Average",1277,991,1644
"168","Washington, DC","110","800 West Braddock Road, Rosemont, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",949,711,1265
"168","Washington, DC","111","Perimeter East Road Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1226,878,1711
"168","Washington, DC","112","Willow Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1008,710,1431
"168","Washington, DC","113","400 50th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1704,1264,2295
"168","Washington, DC","114","5300 Call Place Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1658,1219,2254
"168","Washington, DC","115","4700 B Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1659,1235,2228
"168","Washington, DC","116","100 Jefferson Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1595,1229,2069
"168","Washington, DC","117","4800 Illinois Avenue Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1338,996,1795
"168","Washington, DC","118","100 Emerson Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1477,1131,1927
"168","Washington, DC","119","200 10th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1051,767,1438
"168","Washington, DC","120","300 Varnum Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1458,1120,1897
"168","Washington, DC","121","0 T Street Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",801,551,1162
"168","Washington, DC","122","100 E Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",662,451,969
"168","Washington, DC","123","600 Independence Avenue Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",895,652,1227
"168","Washington, DC","124","1400 4th Street Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",751,522,1079
"168","Washington, DC","125","1600 D Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1053,766,1446
"168","Washington, DC","126","2300 Hartford Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1537,1080,2185
"168","Washington, DC","127","1300 E Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1151,855,1548
"168","Washington, DC","128","3500 19th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1654,1176,2325
"168","Washington, DC","129","800 51st Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1404,965,2042
"168","Washington, DC","130","3800 22nd Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1758,1377,2242
"168","Washington, DC","131","200 Taylor Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1457,1101,1927
"168","Washington, DC","132","1600 Buchanan Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1699,1331,2167
"168","Washington, DC","133","200 Oneida Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1726,1350,2205
"168","Washington, DC","134","1400 Allison Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1159,864,1553
"168","Washington, DC","135","Scale Gate Road Northeast, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1374,1069,1765
"168","Washington, DC","136","700 Taylor Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1368,1030,1816
"168","Washington, DC","137","1700 Willard Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",645,470,883
"168","Washington, DC","138","500 8th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",818,572,1167
"168","Washington, DC","139","1400 Southeast Boulevard, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",765,526,1112
"168","Washington, DC","140","400 14th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",964,704,1318
"168","Washington, DC","141","600 Nicholson Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1806,1428,2283
"168","Washington, DC","142","100 Ingraham Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1679,1305,2159
"168","Washington, DC","143","800 Delafield Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1781,1414,2242
"168","Washington, DC","144","1700 19th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",476,338,669
"168","Washington, DC","145","1100 Varney Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1622,1171,2244
"168","Washington, DC","146","3800 8th Street Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1472,1059,2045
"168","Washington, DC","147","3400 17th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",892,648,1226
"168","Washington, DC","148","1400 Ogden Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1146,872,1505
"168","Washington, DC","149","1400 Irving Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1002,751,1336
"168","Washington, DC","150","1200 13th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",626,453,864
