"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"150","Washington, DC","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",976,681,1398
"150","Washington, DC","2","1400 Juniper Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1273,1030,1572
"150","Washington, DC","3","4800 Canal Road Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1090,856,1387
"150","Washington, DC","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1300,1066,1584
"150","Washington, DC","5","4500 Q Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",893,667,1195
"150","Washington, DC","6","Ridge Road Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1054,839,1322
"150","Washington, DC","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",594,399,882
"150","Washington, DC","8","0 H Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",427,263,691
"150","Washington, DC","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",858,645,1140
"150","Washington, DC","10","1500 30th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",662,477,916
"150","Washington, DC","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1074,859,1342
"150","Washington, DC","13","2100 Monticello Court, Fort Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1722,1327,2233
"150","Washington, DC","14","0 Hesketh Street, Chevy Chase","1/1/2020 - 3/31/2020, Every day, Daily Average",1334,1085,1639
"150","Washington, DC","15","8100 Roanoke Avenue, Takoma Park","1/1/2020 - 3/31/2020, Every day, Daily Average",1696,1373,2094
"150","Washington, DC","16","8800 Walden Road, Silver Spring","1/1/2020 - 3/31/2020, Every day, Daily Average",1771,1427,2196
"150","Washington, DC","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","1/1/2020 - 3/31/2020, Every day, Daily Average",1382,1128,1692
"150","Washington, DC","18","8900 Moreland Lane, Annandale","1/1/2020 - 3/31/2020, Every day, Daily Average",1780,1436,2205
"150","Washington, DC","19","Thomas Avenue, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",956,705,1295
"150","Washington, DC","20","McClellan Drive, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",787,575,1076
"150","Washington, DC","21","3600 North Vernon Street, Old Glebe, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1200,944,1525
"150","Washington, DC","22","6500 Park View Court, West Springfield","1/1/2020 - 3/31/2020, Every day, Daily Average",1872,1506,2326
"150","Washington, DC","23","6500 Bellamine Court, McLean","1/1/2020 - 3/31/2020, Every day, Daily Average",1392,1116,1735
"150","Washington, DC","24","8600 Brook Road, McLean","1/1/2020 - 3/31/2020, Every day, Daily Average",1683,1375,2059
"150","Washington, DC","25","8200 Mockingbird Drive, Annandale","1/1/2020 - 3/31/2020, Every day, Daily Average",1837,1414,2385
"150","Washington, DC","26","9400 Pamlico Lane, Great Falls","1/1/2020 - 3/31/2020, Every day, Daily Average",1662,1316,2098
"150","Washington, DC","27","6200 Everglades Drive, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1486,1176,1876
"150","Washington, DC","28","2100 North Scott Street, North Highland, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",900,685,1181
"150","Washington, DC","29","700 Carpenter Road, Potomac Yard, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1084,832,1411
"150","Washington, DC","30","0 Auburn Court, Potomac West, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1228,939,1604
"150","Washington, DC","31","1000 C Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",973,731,1293
"150","Washington, DC","32","2600 13th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",398,278,568
"150","Washington, DC","33","4400 E Street Southeast, Benning Ridge, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1517,1122,2049
"150","Washington, DC","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1238,913,1677
"150","Washington, DC","35","2100 1st Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",528,364,765
"150","Washington, DC","36","500 17th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1154,852,1561
"150","Washington, DC","37","3500 Toledo Terrace, Chillum","1/1/2020 - 3/31/2020, Every day, Daily Average",1638,1292,2076
"150","Washington, DC","38","5300 Westport Road, Chevy Chase","1/1/2020 - 3/31/2020, Every day, Daily Average",1271,1028,1570
"150","Washington, DC","39","Woodrow Wilson Memorial Bridge, Old Town, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1345,1052,1719
"150","Washington, DC","40","6000 Rixey Drive, Fair Haven, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1581,1257,1987
"150","Washington, DC","41","2000 Rosedale Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1287,958,1728
"150","Washington, DC","42","4200 10th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",887,676,1162
"150","Washington, DC","43","900 Randolph Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",750,576,975
